model,run_id,phase,k,p,branch_layers,recurrency,hidden_size,n_fft,hop_length,subband_preset,epochs,best_epoch,lr_scheduler,val_final_accuracy,test_final_accuracy
fast_learning_rnn_sumfusion,bonus_phase2_nfft512_hop64_k2_R3_H256,phase2,2,,,3,256,512,64,p3_default,30,29,gated_plateau,0.9311692567247151,0.9267606072293688
fast_learning_rnn_sumfusion,bonus_phase3_p3_default_nfft512_hop64_k2_R3_H256,phase3,2,,,3,256,512,64,p3_default,30,29,gated_plateau,0.9311692567247151,0.9267606072293688
fast_learning_rnn_sumfusion,phase1_nfft512_hop64_k2_R3_H256,phase1,2,,,3,256,512,64,p3_default,30,29,gated_plateau,0.9311692567247151,0.9267606072293688
fast_learning_rnn_sumfusion,phase1_nfft512_hop64_k2_R2_H256,phase1,2,,,2,256,512,64,p3_default,30,27,gated_plateau,0.9330728790729226,0.926397135343296
fast_learning_rnn_sumfusion,phase2_nfft512_hop64_k2_R2_H256,phase2,2,,,2,256,512,64,p3_default,30,27,gated_plateau,0.9330728790729226,0.926397135343296
fast_learning_rnn_sumfusion,phase3_p3_default_nfft512_hop64_k2_R2_H256,phase3,2,,,2,256,512,64,p3_default,30,27,gated_plateau,0.9330728790729226,0.926397135343296
fast_learning_sumfusion,final_k2_L2_H256_nfft256_hop64_p7,final,2,1,2,,256,256,64,p7_full_0_2_2_5_5_8,65,51,phased,0.9346758855713738,0.9256701505547055
fast_learning_rnn_sumfusion,final_k2_R3_H256_nfft512_hop64,final,2,,,3,256,512,64,p3_default,65,31,gated_plateau,0.9324716968080609,0.9245797378916136
fast_learning_sumfusion,phase3_p7_full_0_2_2_5_5_8_nfft256_hop64_k2_L2_H256,phase3,2,1,2,,256,256,64,p7_full_0_2_2_5_5_8,30,30,phased,0.9322713543221918,0.9232167538216525
fast_learning_rnn_sumfusion,phase2_nfft256_hop64_k2_R2_H256,phase2,2,,,2,256,256,64,p3_default,30,28,gated_plateau,0.932070978316548,0.9229441632578883
fast_learning_sumfusion,phase3_p2_full_0_2_2_4_4_6_6_8_nfft256_hop64_k2_L2_H256,phase3,2,1,2,,256,256,64,p2_full_0_2_2_4_4_6_6_8,30,28,phased,0.9319707768353488,0.9229441593853467
fast_learning_rnn_sumfusion,bonus_phase2_nfft256_hop64_k2_R3_H256,phase2,2,,,3,256,256,64,p3_default,30,29,gated_plateau,0.930768497935422,0.9225806913718154
fast_learning_rnn_sumfusion,phase3_p4_full_0_1_1_8_nfft512_hop64_k2_R2_H256,phase3,2,,,2,256,512,64,p4_full_0_1_1_8,30,30,gated_plateau,0.933573829448124,0.9224898193381906
fast_learning_sumfusion,phase2_nfft256_hop64_k2_L2_H256,phase2,2,1,2,,256,256,64,p3_default,30,30,phased,0.9331730648004845,0.9223080861032252
fast_learning_sumfusion,phase3_p3_default_nfft256_hop64_k2_L2_H256,phase3,2,1,2,,256,256,64,p3_default,30,30,phased,0.9331730648004845,0.9223080861032252
fast_learning_sumfusion,phase3_p1_full_0_4_4_8_nfft256_hop64_k2_L2_H256,phase3,2,1,2,,256,256,64,p1_full_0_4_4_8,30,29,phased,0.9304679304871933,0.921762878274116
fast_learning_sumfusion,phase3_p5_full_0_4_4_8_nfft256_hop64_k2_L2_H256,phase3,2,1,2,,256,256,64,p5_full_0_4_4_8,30,29,phased,0.9304679304871933,0.921762878274116
fast_learning_sumfusion,phase3_p4_full_0_1_1_8_nfft256_hop64_k2_L2_H256,phase3,2,1,2,,256,256,64,p4_full_0_1_1_8,30,27,phased,0.9339746012619365,0.9215811438746802
fast_learning_sumfusion,phase1_nfft512_hop64_k2_L2_H256,phase1,2,1,2,,256,512,64,p3_default,30,27,phased,0.9307685020022253,0.9208541985589339
fast_learning_sumfusion,phase2_nfft512_hop64_k2_L2_H256,phase2,2,1,2,,256,512,64,p3_default,30,27,phased,0.9307685020022253,0.9208541985589339
fast_learning_rnn_sumfusion,bonus_phase3_p4_full_0_1_1_8_nfft512_hop64_k2_R3_H256,phase3,2,,,3,256,512,64,p4_full_0_1_1_8,30,24,gated_plateau,0.9308686932119097,0.9207633373575934
fast_learning_rnn_sumfusion,phase1_nfft512_hop64_k0_R3_H256,phase1,0,,,3,256,512,64,p3_default,30,30,gated_plateau,0.9283639315421327,0.9198546576424113
fast_learning_sumfusion,phase1_nfft512_hop64_k2_L3_H256,phase1,2,1,3,,256,512,64,p3_default,30,30,phased,0.9230538487685204,0.919672924407446
fast_learning_sumfusion,phase1_nfft512_hop64_k1_L2_H256,phase1,1,1,2,,256,512,64,p3_default,30,29,phased,0.9299669854866217,0.9194003179743853
fast_learning_rnn_sumfusion,phase1_nfft512_hop64_k2_R4_H256,phase1,2,,,4,256,512,64,p3_default,30,27,gated_plateau,0.9278629836810637,0.9187642419841927
fast_learning_rnn_sumfusion,bonus_phase3_p7_full_0_2_2_5_5_8_nfft512_hop64_k2_R3_H256,phase3,2,,,3,256,512,64,p7_full_0_2_2_5_5_8,30,29,gated_plateau,0.9270614611817056,0.9184007673900488
fast_learning_rnn_sumfusion,bonus_phase3_p6_full_0_3_3_6_6_8_nfft512_hop64_k2_R3_H256,phase3,2,,,3,256,512,64,p6_full_0_3_3_6_6_8,30,27,gated_plateau,0.9283639302283343,0.9182190314470123
fast_learning_sumfusion,phase1_nfft512_hop64_k1_L3_H256,phase1,1,1,3,,256,512,64,p3_default,30,29,phased,0.9277627923459714,0.9173103517318303
fast_learning_sumfusion,phase3_p6_full_0_3_3_6_6_8_nfft256_hop64_k2_L2_H256,phase3,2,1,2,,256,256,64,p6_full_0_3_3_6_6_8,30,29,phased,0.9272618345716962,0.9172194947821614
fast_learning_rnn_sumfusion,phase1_nfft512_hop64_k1_R2_H256,phase1,1,,,2,256,512,64,p3_default,30,30,gated_plateau,0.9302675534066236,0.9163108162314498
fast_learning_sumfusion,phase1_nfft512_hop64_k0_L2_H256,phase1,0,1,2,,256,512,64,p3_default,30,21,phased,0.9257589853510997,0.9162199387816828
fast_learning_rnn_sumfusion,phase3_p2_full_0_2_2_4_4_6_6_8_nfft512_hop64_k2_R2_H256,phase3,2,,,2,256,512,64,p2_full_0_2_2_4_4_6_6_8,30,29,gated_plateau,0.9286645090289757,0.9159473470534482
fast_learning_rnn_sumfusion,phase3_p6_full_0_3_3_6_6_8_nfft512_hop64_k2_R2_H256,phase3,2,,,2,256,512,64,p6_full_0_3_3_6_6_8,30,30,gated_plateau,0.9237551775082309,0.9148569313952296
fast_learning_rnn_sumfusion,phase1_nfft512_hop64_k0_R2_H256,phase1,0,,,2,256,512,64,p3_default,30,30,gated_plateau,0.9251578463699235,0.9141299849150127
fast_learning_rnn_sumfusion,phase3_p7_full_0_2_2_5_5_8_nfft512_hop64_k2_R2_H256,phase3,2,,,2,256,512,64,p7_full_0_2_2_5_5_8,30,26,gated_plateau,0.9258591830163116,0.9139482543881186
fast_learning_rnn_sumfusion,phase3_p1_full_0_4_4_8_nfft512_hop64_k2_R2_H256,phase3,2,,,2,256,512,64,p1_full_0_4_4_8,30,28,gated_plateau,0.9234545966771738,0.9133121745253844
